learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,0.40625,9.724010144256882E-8,1000.0,0.9418315789473685,0.728052593042753,0.934,0.5403899721448474,0.0,0.05263157894736842,0.9079763502600599,0.88,-0.3199999999999978,1000.0,925240.0
2000.0,0.671875,1.7500343447965052E-7,2000.0,0.9977683814893117,0.9212564964702189,0.984,0.8559700417686877,0.9418315789473685,0.05708245243128964,0.9651247696545274,0.9444444444444444,0.6923076923076923,2000.0,1131640.0
3000.0,0.90625,2.480525937345293E-7,3000.0,0.9995417505130402,0.9631976478460405,0.991,0.9169956099900395,0.9977683814893117,0.0559662090813094,0.9952368080604074,1.0,0.8280254777070063,3000.0,1204776.0
4000.0,1.09375,3.095031974630223E-7,4000.0,0.9980097417901849,0.9470465042238373,0.987,0.8953435950280157,0.9995417505130402,0.06496272630457935,0.9854118456389619,0.9836065573770492,0.7614678899082566,4000.0,1266856.0
5000.0,1.28125,3.734920432584153E-7,5000.0,0.9995921985815602,0.9696446846999636,0.991,0.9254473161033796,0.9980097417901849,0.06382978723404255,0.9952012519661003,1.0,0.8381294964028775,5000.0,1319184.0
6000.0,1.453125,4.338231843171848E-7,6000.0,0.9993026638241916,0.9591131064392566,0.989,0.9001959788052551,0.9995921985815602,0.0559662090813094,0.9941752218296861,1.0,0.8006042296072506,6000.0,1356848.0
7000.0,1.59375,4.843695529012216E-7,7000.0,0.9995214656822532,0.9720548933179125,0.997,0.9668478981567431,0.9993026638241916,0.04821802935010482,0.9984264349024167,1.0,0.9442970822281166,7000.0,1389408.0
8000.0,1.75,5.426124617871311E-7,8000.0,0.999817701212287,0.9696728852022771,0.995,0.9458335138882871,0.9995214656822532,0.04821802935010482,0.9973760122708233,1.0,0.9054373522458629,8000.0,1440872.0
9000.0,1.9375,6.14281226363447E-7,9000.0,0.9995493465525012,0.9647971565517313,0.994,0.9391542439914816,0.999817701212287,0.05152471083070452,0.9968404344402447,1.0,0.8855932203389829,9000.0,1477512.0
10000.0,2.078125,6.684984610829916E-7,10000.0,0.9986197916666667,0.9629065540205227,0.991,0.8942172073342737,0.9995493465525012,0.041666666666666664,0.9953014618697191,1.0,0.8242187499999999,10000.0,1490312.0
11000.0,2.21875,7.236976590421465E-7,11000.0,0.9992088423502036,0.9701637455980661,0.991,0.904397705544933,0.9986197916666667,0.04712041884816754,0.9952768038241253,1.0,0.8222621184919207,11000.0,1517304.0
12000.0,2.375,7.866314586458935E-7,12000.0,0.9999049068086725,0.9789821516307026,0.991,0.9025298908334778,0.9992088423502036,0.04602510460251046,0.9952817561166172,1.0,0.8202995008319467,12000.0,1556920.0
13000.0,2.515625,8.44772471787615E-7,13000.0,0.9990352602905569,0.9624852426056572,0.988,0.8968930437173493,0.9999049068086725,0.059322033898305086,0.9936237394472922,1.0,0.7625570776255706,13000.0,1598168.0
