learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,0.421875,9.140203474089502E-8,1000.0,0.989832501577468,0.9195720853778712,0.976,0.9431861222634649,0.0,0.42450142450142453,0.9761467038443278,0.9765100671140939,0.919463087248322,1000.0,837480.0
2000.0,0.65625,1.5092906930173436E-7,2000.0,0.9993290668868704,0.9594372681216587,0.991,0.9789057226430661,0.989832501577468,0.44508670520231214,0.9898895848962219,0.987012987012987,0.9702970297029703,2000.0,981760.0
3000.0,0.875,2.1034440982879863E-7,3000.0,0.999105309751182,0.9621634559942079,0.992,0.9811987666390916,0.9993290668868704,0.4409221902017291,0.9914948819439564,0.9901960784313726,0.9736842105263158,3000.0,1049912.0
4000.0,1.046875,2.5864532088033026E-7,4000.0,0.9990822004244823,0.9633980243012245,0.988,0.9715386220898241,0.999105309751182,0.42450142450142453,0.9895146186294886,0.9932885906040269,0.9603305785123967,4000.0,1086288.0
5000.0,1.203125,3.034412899675469E-7,5000.0,0.997446307283093,0.9418373575485962,0.991,0.9782984017978569,0.9990822004244823,0.4144271570014144,0.9896325252388851,0.9863481228668942,0.9700598802395209,5000.0,1108208.0
6000.0,1.390625,3.592818393371999E-7,6000.0,0.9992009643851814,0.9489892955871042,0.992,0.9815874389508522,0.997446307283093,0.46412884333821375,0.9924522674218124,0.9936908517350158,0.9736263736263736,6000.0,1151200.0
7000.0,1.5625,4.1273277020081876E-7,7000.0,0.9995376656495311,0.9432953807981442,0.992,0.9805731880855363,0.9992009643851814,0.40646976090014064,0.9912921005025357,0.9896193771626297,0.9734471313418681,7000.0,1202112.0
8000.0,1.71875,4.6334465474097263E-7,8000.0,0.9994951316263974,0.949817018271666,0.989,0.9735805552886925,0.9995376656495311,0.41843971631205673,0.9872610887027293,0.9830508474576272,0.9633943427620631,8000.0,1252088.0
9000.0,1.890625,5.221700606246789E-7,9000.0,0.9976805939919451,0.9438510463625731,0.988,0.9721953186184781,0.9994951316263974,0.4513788098693759,0.9895194187038338,0.9935691318327974,0.9602209944751381,9000.0,1322984.0
10000.0,2.0625,5.834025796502829E-7,10000.0,0.9988830958174024,0.9487965864692809,0.991,0.9792339640055376,0.9976805939919451,0.45985401459854014,0.991714020244371,0.9936507936507937,0.9702970297029703,10000.0,1377120.0
11000.0,2.21875,6.403348460379575E-7,11000.0,0.9993927778515721,0.9490519849633459,0.985,0.9647188326167336,0.9988830958174024,0.4326647564469914,0.9864304482919434,0.9900662251655629,0.9504801920768307,11000.0,1408448.0
12000.0,2.359375,6.934964848268364E-7,12000.0,0.9997323327444654,0.9612859499391178,0.992,0.9805731880855363,0.9993927778515721,0.40646976090014064,0.9912921005025357,0.9896193771626297,0.9734879867439934,12000.0,1461296.0
13000.0,2.5,7.482151785451505E-7,13000.0,0.9993802626457151,0.9553460398458106,0.986,0.9644034010007729,0.9997323327444654,0.36239782016348776,0.9856689604862572,0.9849624060150376,0.9531772575250835,13000.0,1504096.0
14000.0,2.640625,8.038942986685369E-7,14000.0,0.9987152777777778,0.9628622987571316,0.988,0.9704316972205795,0.9993802626457151,0.3888888888888889,0.9883924538649326,0.9892857142857143,0.9596832253419726,14000.0,1530496.0
15000.0,2.796875,8.669144396359721E-7,15000.0,0.9992009438263509,0.966803701159931,0.995,0.9882598241791269,0.9987152777777778,0.443001443001443,0.9945775684546374,0.993485342019544,0.9832364774251229,15000.0,1559056.0
16000.0,2.9375,9.243432820464174E-7,16000.0,0.999960657801558,0.9772913002234896,0.997,0.9926311652584004,0.9992009438263509,0.39664804469273746,0.9968427221481139,0.9964788732394366,0.9899117276166456,16000.0,1578592.0
