learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.109375,3.986254644890626E-9,1000.0,0.993075651095494,0.9233953736331011,0.978,0.954356846473029,0.0,0.6949152542372882,0.9752963531340328,0.9609756097560975,0.9463414634146341,1000.0,140880.0,15.0,998.6666666666667,34.21709402929367,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.171875,6.2641144419709846E-9,2000.0,0.9988122134361087,0.9440987155478878,0.984,0.9667486865731196,0.993075651095494,0.6778523489932886,0.9829747967910066,0.9777227722772277,0.9606879606879607,2000.0,140880.0,15.0,1990.5333333333333,46.83079979590154,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.21875,7.972509289781253E-9,3000.0,0.9995735625331214,0.950243101385992,0.989,0.9772203906495917,0.9988122134361087,0.6891891891891891,0.9884191301206959,0.9852941176470589,0.9729950900163666,3000.0,140880.0,15.0,2989.4,61.491927460904456,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.328125,1.3484225039266878E-8,4000.0,0.9972814208219019,0.9210146542476306,0.988,0.9750412858729518,0.9995735625331214,0.669449081803005,0.987922436738117,0.9875311720698254,0.9704251386321626,4000.0,194792.0,15.0,3983.5333333333333,60.407978028765406,6504.533333333333,1585.4436903397407,4.066666666666666,1.0327955589886444,2.5333333333333328,0.5163977794943222,2.5333333333333328,0.5163977794943222,1.5333333333333334,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.375,1.6148874743117225E-8,5000.0,0.9949541838225805,0.9267731620534098,0.984,0.9666668055549769,0.9972814208219019,0.669449081803005,0.9829202656762849,0.9775561097256857,0.9604743083003953,5000.0,219736.0,15.0,4983.866666666667,63.40331972681683,8157.866666666668,1586.4179717061897,4.599999999999999,1.121223821162776,2.7999999999999994,0.560611910581388,2.7999999999999994,0.560611910581388,1.7999999999999998,0.560611910581388,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.421875,1.904703417999877E-8,6000.0,0.9995075042989031,0.9427323224730536,0.992,0.9833052304712934,0.9949541838225805,0.6611295681063123,0.9916511531528656,0.9899497487437185,0.9801816680429397,6000.0,238992.0,15.0,5980.666666666666,79.45948353601044,9430.4,1219.8555417987588,5.533333333333333,0.9154754164341268,3.2666666666666666,0.4577377082170634,3.2666666666666666,0.4577377082170634,2.2666666666666666,0.4577377082170634,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.46875,2.2033669261468782E-8,7000.0,0.9988907376594565,0.9427065114852764,0.987,0.9728596719778201,0.9995075042989031,0.6638935108153078,0.9857977548664023,0.9799498746867168,0.967741935483871,7000.0,246288.0,15.0,6977.400000000001,79.67684732718784,9913.6,1731.3491353772147,5.8,1.2649110640673518,3.4,0.6324555320336759,3.4,0.6324555320336759,2.4,0.6324555320336759,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.515625,2.512051853247815E-8,8000.0,0.9986106258007621,0.9462193224612089,0.989,0.9771117529068074,0.9988907376594565,0.6722408026755853,0.9883512619216134,0.9850746268656716,0.9726962457337883,8000.0,254552.0,15.0,7989.533333333332,90.70979366455789,10459.2,2505.687792660074,6.333333333333334,2.0930724738891344,3.666666666666667,1.0465362369445672,3.666666666666667,1.0465362369445672,2.6,0.9102589898327995,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.5625,2.8316119116627512E-8,9000.0,0.9977757709545789,0.928215871129516,0.982,0.9624373956594323,0.9986106258007621,0.6556291390728477,0.9820556194440232,0.9823232323232324,0.9552362531085935,9000.0,263520.0,15.0,8997.666666666668,93.18466049935985,11052.800000000001,3721.7124169239237,6.6,2.6403462976338106,3.8,1.3201731488169053,3.8,1.3201731488169053,2.666666666666667,1.0465362369445672,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.625,3.320504523192843E-8,10000.0,0.9989435867081011,0.9440674238571388,0.991,0.9815087237732065,0.9977757709545789,0.718213058419244,0.9909196576254775,0.9904306220095693,0.9777062174882338,10000.0,302368.0,15.0,10008.4,100.59238823802008,13617.6,3193.4149388121446,8.866666666666667,2.1995670569671746,4.933333333333334,1.0997835284835873,4.933333333333334,1.0997835284835873,3.2,0.7745966692414835,0.0,0.0,0.0,0.0,1.0,0.0
