learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,0.390625,8.348999674328499E-8,1000.0,0.9936027461382431,0.961552811099978,0.989,0.977997535724001,0.0,0.9723865877712031,0.9890357554599395,0.9918864097363083,0.9772727272727273,1000.0,826184.0
2000.0,0.59375,1.3447179096854395E-7,2000.0,0.9995470415398984,0.9744027900342486,0.99,0.979953893956099,0.9936027461382431,1.0964360587002095,0.9898835303499804,0.9923518164435946,0.9790794979079498,2000.0,970184.0
3000.0,0.765625,1.7847995170288615E-7,3000.0,0.9999479831465394,0.9834869012171432,0.996,0.9919962542469876,0.9995470415398984,1.0366598778004072,0.9959183503123127,1.0,0.991701244813278,3000.0,989744.0
4000.0,1.0,2.4465624139540725E-7,4000.0,0.9999359423481133,0.9628077576085954,0.997,0.9939942344650865,0.9999479831465394,0.941747572815534,0.9969666736122448,0.9958762886597938,0.9937434827945777,4000.0,1091424.0
5000.0,1.203125,3.049361920501623E-7,5000.0,0.9997879694676033,0.9707021006625476,0.997,0.9939989918306276,0.9999359423481133,1.0242914979757085,0.9969870277848324,0.9980237154150198,0.9937990905332782,5000.0,1147128.0
6000.0,1.421875,3.7312536733224987E-7,6000.0,0.9997513784461153,0.9623182370896265,0.995,0.9899739322237818,0.9997879694676033,0.9047619047619048,0.994936554191858,0.9936842105263158,0.9895869489760499,6000.0,1204952.0
7000.0,1.59375,4.2828621291038064E-7,7000.0,0.9981413160603912,0.9726936739631579,0.997,0.9939926951172626,0.9997513784461153,0.9267822736030829,0.9971056379236809,1.0,0.9937537180249851,7000.0,1240568.0
8000.0,1.71875,4.6920593983183304E-7,8000.0,0.9997878336615907,0.9751773234890404,0.993,0.9859913706843415,0.9981413160603912,1.0576131687242798,0.9930746087721773,0.9902723735408561,0.9855744461617723,8000.0,1265392.0
9000.0,1.890625,5.266675402203367E-7,9000.0,0.9981959350536619,0.984434997378796,0.997,0.9939997119861753,0.9997878336615907,1.012072434607646,0.9969933720181988,0.9980119284294234,0.9938398357289527,9000.0,1292312.0
10000.0,2.109375,6.025172964048882E-7,10000.0,0.9993698802772527,0.9647508153749842,0.998,0.9959874326390254,0.9981959350536619,1.1231422505307855,0.998107850717304,0.996219281663516,0.9958796868562011,10000.0,1340320.0
11000.0,2.265625,6.576952485678097E-7,11000.0,0.9998119390682582,0.9641207022612654,0.994,0.9879969752377599,0.9993698802772527,0.9646365422396856,0.9940322652946436,0.9959266802443992,0.9876750700280112,11000.0,1365048.0
12000.0,2.421875,7.138058168089225E-7,12000.0,0.9998957794693571,0.9757522665603982,0.996,0.9919845140812049,0.9998119390682582,0.9120458891013384,0.9960820506965474,0.9979035639412998,0.9917638984214139,12000.0,1388120.0
13000.0,2.59375,7.772530079819263E-7,13000.0,0.9997634550003207,0.9672410801145187,0.996,0.991984610452068,0.9998957794693571,0.9083969465648855,0.9961758942143403,1.0,0.991751269035533,13000.0,1426928.0
14000.0,2.78125,8.49769664152215E-7,14000.0,0.9985909273384183,0.9702756689880649,0.995,0.9899650784730863,0.9997634550003207,0.8867924528301887,0.9950419037431223,0.9957446808510638,0.9896663714201358,14000.0,1494992.0
15000.0,2.96875,9.238715089547137E-7,15000.0,0.9986620680262299,0.9687590053927453,0.995,0.9899878251954376,0.9985909273384183,0.9267822736030829,0.9951029554593817,0.997920997920998,0.9896623018607856,15000.0,1527672.0
16000.0,3.171875,1.0067040501679811E-6,16000.0,0.999175881326911,0.9644389448754324,0.994,0.9879982717511322,0.9986620680262299,0.9762845849802372,0.9939991332671667,0.9939271255060729,0.9876272715556128,16000.0,1576304.0
17000.0,3.328125,1.071484972878049E-6,17000.0,0.9999079377659298,0.9694466719022546,0.993,0.9859941735762077,0.999175881326911,1.053388090349076,0.9931136499474152,0.9883040935672515,0.9855757575757575,17000.0,1602616.0
18000.0,3.515625,1.151432419040551E-6,18000.0,0.9994675825847464,0.9678452857439728,0.995,0.9899915929380679,0.9999079377659298,1.0576131687242798,0.9949674008433306,0.9961089494163424,0.9896848137535816,18000.0,1648184.0
19000.0,3.703125,1.2339464349982642E-6,19000.0,0.9999238656990932,0.9726238516398844,0.997,0.9939888914714392,0.9994675825847464,1.0876826722338204,0.9969519863042176,0.9980806142034548,0.9938070404172099,19000.0,1701096.0
20000.0,3.875,1.3103945982745955E-6,20000.0,0.999947996671787,0.9765800233972838,0.994,0.9879996159877116,0.9999238656990932,0.9841269841269841,0.9940137001304896,0.9959677419354839,0.9876403337109898,20000.0,1719320.0
21000.0,4.046875,1.3894615242154237E-6,21000.0,0.999755608974359,0.9678823404779564,0.993,0.9859786876051598,0.999947996671787,1.0833333333333333,0.9930285842969322,0.9923076923076923,0.9855811672388426,21000.0,1778216.0
22000.0,4.21875,1.4697364531457427E-6,22000.0,0.9998679915514593,0.978853462711866,0.998,0.9959997439836149,0.999755608974359,1.0161290322580645,0.9979998718635346,0.998015873015873,0.9958855432953058,22000.0,1805384.0
23000.0,4.390625,1.5506836805596123E-6,23000.0,0.9999719909250597,0.9792657749058344,0.996,0.991996830744975,0.9998679915514593,0.9646365422396856,0.995960535218951,0.9938900203665988,0.9917614399570162,23000.0,1820504.0
24000.0,4.5625,1.6337018718736042E-6,24000.0,0.9986436527751105,0.9814527153267848,0.997,0.9939982715021927,0.9999719909250597,1.032520325203252,0.9969826766103361,0.9980314960629921,0.9938213335621728,24000.0,1867080.0
25000.0,4.734375,1.7184908049077627E-6,25000.0,0.999723866351314,0.9786026165075069,0.995,0.9899938362031011,0.9986436527751105,1.0449897750511248,0.9949266814620656,0.9980430528375733,0.9896924218685578,25000.0,1906904.0
26000.0,4.921875,1.8138756988466618E-6,26000.0,0.9999559998239993,0.9753619699834117,0.997,0.994,0.999723866351314,1.0040080160320641,0.9970014925003393,0.9960079840319361,0.9938222715032473,26000.0,1966440.0
27000.0,5.09375,1.902191175354852E-6,27000.0,0.9995598873311567,0.9718199817592862,0.993,0.9859941735762077,0.9999559998239993,1.032520325203252,0.9929050207634897,0.9980314960629921,0.9855515633361364,27000.0,1986216.0
28000.0,5.265625,1.9927849967239637E-6,28000.0,0.9999919999679999,0.9803067072158141,0.997,0.9940000479996159,0.9995598873311567,1.0040080160320641,0.9970014925003393,0.9940119760479041,0.9938153438374319,28000.0,2037456.0
29000.0,5.453125,2.0934982199428814E-6,29000.0,0.998156,0.9730166762102258,0.994,0.988,0.9999919999679999,1.0,0.9939818911831342,1.0,0.9876156583629894,29000.0,2076288.0
30000.0,5.625,2.1870718531621006E-6,30000.0,0.9999759996159938,0.9736420102947861,0.996,0.992,0.998156,1.0080321285140563,0.9960059600454001,0.9940239043824701,0.9917355371900827,30000.0,2104472.0
31000.0,5.796875,2.2816806126178975E-6,31000.0,0.9984196902592908,0.9769439514313785,0.997,0.9939989918306276,0.9999759996159938,1.028397565922921,0.9970129541920918,0.9960552268244576,0.9937958639092729,31000.0,2127752.0
32000.0,5.96875,2.3778342357319272E-6,32000.0,0.9999439495545991,0.982721296061708,0.998,0.9959963967570814,0.9984196902592908,1.0618556701030928,0.9979981965716793,0.9980582524271845,0.9958642972536349,32000.0,2162496.0
33000.0,6.140625,2.475394705672646E-6,33000.0,0.9998838494689117,0.9802051336220358,0.997,0.993992646999928,0.9999439495545991,0.9305019305019305,0.9970317536185946,0.9979253112033195,0.9938028169014085,33000.0,2194136.0
34000.0,6.3125,2.574853974187541E-6,34000.0,0.9997152882205513,0.9777152929650104,0.994,0.98796992481203,0.9998838494689117,1.105263157894737,0.9939849169064862,0.9942857142857143,0.9876055653441885,34000.0,2236840.0
35000.0,6.5,2.685649152327744E-6,35000.0,0.9999076894673682,0.9721471859438318,0.995,0.9899627416971799,0.9997152882205513,1.1231422505307855,0.9948030588188347,0.998109640831758,0.9896633195510928,35000.0,2284136.0
36000.0,6.671875,2.7888138881988006E-6,36000.0,0.9999237254114813,0.979769290247756,0.997,0.9939790470838518,0.9999076894673682,1.127659574468085,0.9970490381239662,0.9962264150943396,0.9937931034482759,36000.0,2320176.0
37000.0,6.859375,2.903214060804911E-6,37000.0,0.999799864708543,0.9763782781536546,0.995,0.9899947972945932,0.9999237254114813,1.053388090349076,0.9950705260321008,0.9922027290448343,0.9896572930060938,37000.0,2358456.0
38000.0,7.046875,3.0191152149604434E-6,38000.0,0.9998919995679982,0.9812686798418165,0.993,0.9859996639919358,0.999799864708543,1.0040080160320641,0.9929773129411246,0.998003992015968,0.9855238095238095,38000.0,2389400.0
39000.0,7.203125,3.1162566867553534E-6,39000.0,0.9999959989757378,0.9825224881354382,0.998,0.9959987195902689,0.9998919995679982,0.968503937007874,0.9979654098963519,0.9959349593495935,0.995863385659737,39000.0,2403184.0
