learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.140625,1.6915728338062764E-8,1000.0,0.9773010537447596,0.9067556150836983,0.995,0.9680274196848783,0.0,0.09529025191675794,0.9762059498007232,0.9540229885057471,0.9425287356321839,1000.0,464976.0,15.0,0.9578098719966193,0.04219012800338072,166.9333333333333,11.022487836021318,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.25,3.00724059343338E-8,2000.0,0.9998777777777778,0.9797045288458921,0.996,0.9779735682819383,0.9773010537447596,0.1111111111111111,0.993327740476425,0.99,0.9572192513368983,2000.0,464976.0,15.0,0.9323157277105515,0.06768427228944841,359.06666666666666,17.681575021419757,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.34375,4.1349558159708976E-8,3000.0,0.9996964971585854,0.982430627395847,0.996,0.9794075553679354,0.9998777777777778,0.11982082866741321,0.9977578447124985,1.0,0.9591836734693877,3000.0,464976.0,15.0,0.9561668913882465,0.0438331086117533,565.6666666666664,20.57275128022726,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.4375,5.262671038508415E-8,4000.0,0.9990435198469632,0.9772370156036756,0.996,0.9737229346226614,0.9996964971585854,0.08932461873638345,0.9922584126790164,0.9878048780487805,0.9574468085106382,4000.0,464976.0,15.0,0.7743336990809253,0.22566630091907483,720.2,18.887637680315063,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.53125,6.390386261045934E-8,5000.0,0.9999688589935227,0.9888910450192275,0.998,0.9897034596375618,0.9990435198469632,0.1210762331838565,0.998878294655376,1.0,0.9793388429752066,5000.0,464976.0,15.0,0.9858399176026238,0.014160082397376284,930.8666666666667,21.390474070304776,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.625,7.518101483583451E-8,6000.0,0.9998885274475826,0.9774962778326431,0.995,0.9749614406185525,0.9999688589935227,0.12485939257592801,0.9932432173915379,0.990990990990991,0.9495798319327731,6000.0,464976.0,15.0,0.9634243514968149,0.036575648503185045,1141.666666666667,25.722882160960673,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.703125,8.457864169031383E-8,7000.0,1.0,0.9854271125773199,1.0,1.0,0.9998885274475826,0.09649122807017543,1.0,1.0,1.0,7000.0,464976.0,15.0,0.9726036422205634,0.027396357779436564,1309.0,27.448653362753003,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.78125,9.397626854479314E-8,8000.0,0.9999376993620415,0.9828993012640734,0.998,0.9876665022200296,1.0,0.09649122807017543,0.9989029069653665,1.0,0.9792477302204928,8000.0,464976.0,15.0,0.9100742823760632,0.08992571762393678,1477.0,29.406024649963904,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.859375,1.0337389539927246E-7,9000.0,0.9996669914527806,0.9829287877714372,0.996,0.9758229271182137,0.9999376993620415,0.09769484083424808,0.9978021951452417,1.0,0.9581395348837208,9000.0,464976.0,15.0,0.8506042990441839,0.14939570095581609,1646.3999999999999,33.86907565485492,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.9375,1.1277152225375177E-7,10000.0,0.9992423504453897,0.9816340227404599,0.995,0.9735102144613037,0.9996669914527806,0.11482720178372352,0.99720903725903,1.0,0.9480789200415368,10000.0,464976.0,15.0,0.8922484525107617,0.10775154748923836,1846.0666666666666,40.35461854726466,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
