learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.1875,2.2557020808259648E-8,1000.0,0.9957471664446231,0.9557425813549764,0.984,0.9680008959749127,0.0,0.9723865877712031,0.9840781515318949,0.9918864097363083,0.9669421487603306,1000.0,465032.0,15.0,1089.4,35.10962424016691,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.3125,3.759503468043274E-8,2000.0,0.9995029482384726,0.9725672145357669,0.99,0.979953893956099,0.9957471664446231,1.0964360587002095,0.9898835303499804,0.9923518164435946,0.9790794979079498,2000.0,465032.0,15.0,2252.866666666667,48.80846921044204,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.46875,5.706258687294192E-8,3000.0,0.9999479831465394,0.9722969672926193,0.994,0.9879961107398797,0.9995029482384726,1.0366598778004072,0.9939980494989213,0.9941060903732809,0.987551867219917,3000.0,481608.0,15.0,3375.066666666667,63.79035604078048,4039.4666666666662,1391.5219759399454,1.8,1.01418510567422,1.4000000000000001,0.50709255283711,1.4000000000000001,0.50709255283711,0.39999999999999997,0.50709255283711,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.640625,8.113193972450164E-8,4000.0,0.9999919927935141,0.9511551932448209,0.995,0.9899879855826992,0.9999479831465394,0.941747572815534,0.994832006747614,0.9896907216494846,0.9895724713242962,4000.0,541320.0,15.0,4388.0,59.32236388701022,7986.666666666667,1199.4805224802628,4.599999999999999,0.828078671210825,2.7999999999999994,0.4140393356054125,2.7999999999999994,0.4140393356054125,1.7999999999999998,0.4140393356054125,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.78125,1.0179711454030541E-7,5000.0,0.9995999423917044,0.9664146907499651,0.996,0.9919988478340881,0.9999919927935141,1.0242914979757085,0.9959994227600837,0.9960474308300395,0.9917321207110376,5000.0,568040.0,15.0,5489.666666666667,57.99958948951605,9751.466666666664,1453.7202455702934,6.066666666666666,1.2798809468443688,3.533333333333333,0.6399404734221844,3.533333333333333,0.6399404734221844,2.2,0.4140393356054125,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.890625,1.1826910647667118E-7,6000.0,0.9996711779448622,0.9648964496973529,0.994,0.9879650987864808,0.9995999423917044,0.9047619047619048,0.9937751115977285,0.9894736842105263,0.98750433877126,6000.0,582144.0,15.0,6486.733333333334,71.21944624756284,10684.266666666666,2225.1813238047644,6.6,1.5491933384829668,3.8,0.7745966692414834,3.8,0.7745966692414834,2.466666666666667,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,1.015625,1.3769287357313767E-7,7000.0,0.9988583514595075,0.9748409078021213,0.998,0.995994825314306,0.9996711779448622,0.9267822736030829,0.9980713578962147,1.0,0.9958358120166567,7000.0,600656.0,15.0,7525.066666666667,72.95445415430363,11906.666666666668,3491.1108888282592,7.666666666666667,2.4688535993934706,4.333333333333333,1.2344267996967355,4.333333333333333,1.2344267996967355,2.9333333333333336,0.7988086367179801,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,1.140625,1.5774062679459653E-7,8000.0,0.9998358713231174,0.9702712778016148,0.994,0.9879905846183408,0.9988583514595075,1.0576131687242798,0.9939952780896325,0.9941634241245136,0.9876352395672334,8000.0,619952.0,15.0,8648.866666666667,85.74119418897997,13184.0,3633.2156555866595,8.333333333333332,2.581988897471611,4.666666666666666,1.2909944487358056,4.666666666666666,1.2909944487358056,3.2,0.7745966692414832,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.265625,1.785518058265249E-7,9000.0,0.9998399942397926,0.9666210103013406,0.995,0.9899997599942398,0.9998358713231174,1.012072434607646,0.9950053473640663,0.9940357852882704,0.9897330595482546,9000.0,643560.0,15.0,9718.8,88.34445572384759,14744.533333333333,3082.8416822949634,9.533333333333335,2.325838302531758,5.2666666666666675,1.162919151265879,5.2666666666666675,1.162919151265879,3.6,0.632455532033676,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.40625,2.0345508043343824E-7,10000.0,0.998498950469379,0.9568258110954968,0.997,0.9939804484967173,0.9998399942397926,1.1231422505307855,0.9970477252447962,0.996219281663516,0.9938195302843016,10000.0,684536.0,15.0,10931.266666666665,100.25714557125218,17452.8,2992.427471373128,11.666666666666668,2.225394561056747,6.333333333333334,1.1126972805283735,6.333333333333334,1.1126972805283735,4.666666666666665,0.723746864455746,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,1.515625,2.2314572965519298E-7,11000.0,0.9997599222147976,0.9472287484980411,0.99,0.9799963993518833,0.998498950469379,0.9646365422396856,0.9900614080933272,0.9938900203665988,0.9794584500466853,11000.0,695896.0,15.0,11907.866666666667,91.08933344067604,18204.8,2775.7444098063916,11.933333333333334,2.1201976547572383,6.466666666666667,1.0600988273786192,6.466666666666667,1.0600988273786192,4.733333333333333,0.5936168397046636,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,1.625,2.433715013062789E-7,12000.0,0.9998516861679313,0.9667269514613765,0.997,0.9939889396489541,0.9997599222147976,0.9120458891013384,0.9971278064183628,1.0,0.9938229238160604,12000.0,714808.0,15.0,12935.466666666665,73.5894661198841,19454.4,2703.066956519681,12.866666666666667,1.9223002094465098,6.933333333333334,0.9611501047232549,6.933333333333334,0.9611501047232549,4.8,0.560611910581388,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.734375,2.6398005300304963E-7,13000.0,0.9998676951696709,0.9665290973525102,0.993,0.9859771146511106,0.9998516861679313,0.9083969465648855,0.9932981533125116,1.0,0.9855647208121827,13000.0,728336.0,15.0,13926.666666666666,63.39971458550744,20348.8,2936.4885541359477,13.4,2.164651077128665,7.2,1.0823255385643324,7.2,1.0823255385643324,5.066666666666666,0.7037315505489967,0.0,0.0,0.0,0.0,1.0,0.0
