learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,0.421875,1.009801053442061E-7,1000.0,0.9418315789473685,0.728052593042753,0.934,0.5403899721448474,0.0,0.05263157894736842,0.9079763502600599,0.88,-0.3199999999999978,1000.0,925240.0
2000.0,0.671875,1.7416912467322414E-7,2000.0,0.9977683814893117,0.9212564964702189,0.984,0.8559700417686877,0.9418315789473685,0.05708245243128964,0.9651247696545274,0.9444444444444444,0.6923076923076923,2000.0,1131640.0
3000.0,0.890625,2.423483399777777E-7,3000.0,0.9995417505130402,0.9631976478460405,0.991,0.9169956099900395,0.9977683814893117,0.0559662090813094,0.9952368080604074,1.0,0.8280254777070063,3000.0,1204776.0
4000.0,1.0625,2.9867806006222963E-7,4000.0,0.9980097417901849,0.9470465042238373,0.987,0.8953435950280157,0.9995417505130402,0.06496272630457935,0.9854118456389619,0.9836065573770492,0.7614678899082566,4000.0,1266856.0
5000.0,1.25,3.626669058576226E-7,5000.0,0.9995921985815602,0.9696446846999636,0.991,0.9254473161033796,0.9980097417901849,0.06382978723404255,0.9952012519661003,1.0,0.8381294964028775,5000.0,1319184.0
6000.0,1.40625,4.1751339772923123E-7,6000.0,0.9993026638241916,0.9591131064392566,0.989,0.9001959788052551,0.9995921985815602,0.0559662090813094,0.9941752218296861,1.0,0.8006042296072506,6000.0,1356848.0
7000.0,1.578125,4.792922926652762E-7,7000.0,0.9995214656822532,0.9720548933179125,0.997,0.9668478981567431,0.9993026638241916,0.04821802935010482,0.9984264349024167,1.0,0.9442970822281166,7000.0,1389408.0
8000.0,1.734375,5.375352015511857E-7,8000.0,0.999817701212287,0.9696728852022771,0.995,0.9458335138882871,0.9995214656822532,0.04821802935010482,0.9973760122708233,1.0,0.9054373522458629,8000.0,1440872.0
9000.0,1.90625,6.032315690794753E-7,9000.0,0.9995493465525012,0.9647971565517313,0.994,0.9391542439914816,0.999817701212287,0.05152471083070452,0.9968404344402447,1.0,0.8855932203389829,9000.0,1477512.0
10000.0,2.046875,6.574488037990199E-7,10000.0,0.9986197916666667,0.9629065540205227,0.991,0.8942172073342737,0.9995493465525012,0.041666666666666664,0.9953014618697191,1.0,0.8242187499999999,10000.0,1490312.0
11000.0,2.203125,7.187812459758587E-7,11000.0,0.9992088423502036,0.9701637455980661,0.991,0.904397705544933,0.9986197916666667,0.04712041884816754,0.9952768038241253,1.0,0.8222621184919207,11000.0,1517304.0
